Branch,From,To,Year,Number of Delays
Babylon,Atlantic Terminal,Jamaica Station,2011,14
Babylon,Atlantic Terminal,Babylon Station,2011,98
Babylon,Babylon Station,West Side Yard,2011,9
Babylon,Babylon Station,Penn Station,2011,1280
Babylon,Babylon Station,Atlantic Terminal,2011,38
Babylon,Freeport Station,Penn Station,2011,78
Babylon,Jamaica Station,Babylon Station,2011,3
Babylon,Lindenhurst Station,Penn Station,2011,25
Babylon,Massapequa Park Station,Penn Station,2011,58
Babylon,Massapequa Park Station,Atlantic Terminal,2011,4
Babylon,Merrick Station,Penn Station,2011,15
Babylon,Penn Station,Wantagh Station,2011,116
Babylon,Penn Station,Seaford Station,2011,45
Babylon,Penn Station,Montauk Station,2011,8
Babylon,Penn Station,Massapequa Park Station,2011,14
Babylon,Penn Station,Freeport Station,2011,112
Babylon,Penn Station,Babylon Station,2011,1085
Babylon,Wantagh Station,Penn Station,2011,52
Babylon,West Side Yard,Babylon Station,2011,1
Far Rockaway,Atlantic Terminal,Far Rockaway Station,2011,231
Far Rockaway,Far Rockaway Station,West Side Yard,2011,1
Far Rockaway,Far Rockaway Station,Valley Stream Station,2011,1
Far Rockaway,Far Rockaway Station,Penn Station,2011,119
Far Rockaway,Far Rockaway Station,Jamaica Station,2011,15
Far Rockaway,Far Rockaway Station,Atlantic Terminal,2011,210
Far Rockaway,Hall Tower,Atlantic Terminal,2011,1
Far Rockaway,Jamaica Station,Far Rockaway Station,2011,25
Far Rockaway,Jamaica Station,Atlantic Terminal,2011,38
Far Rockaway,Penn Station,Far Rockaway Station,2011,39
Far Rockaway,Valley Stream Station,Penn Station,2011,32
Far Rockaway,Valley Stream Station,Far Rockaway Station,2011,3
Hempstead,Atlantic Terminal,Hempstead Station,2011,210
Hempstead,Hempstead Station,Penn Station,2011,100
Hempstead,Hempstead Station,Jamaica Station,2011,25
Hempstead,Hempstead Station,Atlantic Terminal,2011,195
Hempstead,Jamaica Station,Hempstead Station,2011,36
Hempstead,Penn Station,Hempstead Station,2011,112
Hunt. Hicks.,Atlantic Terminal,Huntington Station,2011,22
Hunt. Hicks.,Cold Spring Harbor Sta.,Penn Station,2011,19
Hunt. Hicks.,Hicksville Station,Penn Station,2011,51
Hunt. Hicks.,Huntington Station,West Side Yard,2011,10
Hunt. Hicks.,Huntington Station,Penn Station,2011,770
Hunt. Hicks.,Huntington Station,Hunterspoint Ave.,2011,10
Hunt. Hicks.,Huntington Station,Atlantic Terminal,2011,25
Hunt. Hicks.,Jamaica Station,Huntington Station,2011,14
Hunt. Hicks.,Penn Station,Jamaica Station,2011,3
Hunt. Hicks.,Penn Station,Huntington Station,2011,1022
Hunt. Hicks.,Penn Station,Hicksville Station,2011,106
Hunt. Hicks.,West Side Yard,Huntington Station,2011,7
Hunt. Hicks.,Westbury Station,Penn Station,2011,30
Long Beach,Atlantic Terminal,Long Beach Station,2011,99
Long Beach,Jamaica Station,Long Beach Station,2011,10
Long Beach,Jamaica Station,Atlantic Terminal,2011,8
Long Beach,Long Beach Station,West Side Yard,2011,4
Long Beach,Long Beach Station,Penn Station,2011,380
Long Beach,Long Beach Station,Jamaica Station,2011,15
Long Beach,Long Beach Station,Atlantic Terminal,2011,49
Long Beach,Penn Station,Long Beach Station,2011,313
Long Beach,West Side Yard,Long Beach Station,2011,1
Montauk,Babylon Station,Speonk Station,2011,102
Montauk,Babylon Station,Patchogue Station,2011,209
Montauk,Babylon Station,Montauk Station,2011,23
Montauk,Bridgehampton Station,Jamaica Station,2011,7
Montauk,Hunterspoint Ave.,Montauk Station,2011,45
Montauk,Jamaica Station,Speonk Station,2011,59
Montauk,Jamaica Station,Patchogue Station,2011,112
Montauk,Jamaica Station,Montauk Station,2011,221
Montauk,Jamaica Storage Yard,Montauk Station,2011,2
Montauk,Long Island City,Patchogue Station,2011,26
Montauk,Montauk Station,Long Island City,2011,35
Montauk,Montauk Station,Jamaica Storage Yard,2011,1
Montauk,Montauk Station,Jamaica Station,2011,259
Montauk,Montauk Station,Hunterspoint Ave.,2011,2
Montauk,Montauk Station,Babylon Station,2011,27
Montauk,Patchogue Station,Montauk Station,2011,2
Montauk,Patchogue Station,Jamaica Station,2011,26
Montauk,Patchogue Station,Babylon Station,2011,181
Montauk,Penn Station,Speonk Station,2011,39
Montauk,Speonk Station,Penn Station,2011,91
Montauk,Speonk Station,Long Island City,2011,14
Montauk,Speonk Station,Jamaica Storage Yard,2011,1
Montauk,Speonk Station,Jamaica Station,2011,39
Montauk,Speonk Station,Hunterspoint Ave.,2011,14
Montauk,Speonk Station,Babylon Station,2011,70
Oyster Bay,East Williston Station,Penn Station,2011,13
Oyster Bay,Hunterspoint Ave.,Oyster Bay Station,2011,42
Oyster Bay,Jamaica Station,Oyster Bay Station,2011,252
Oyster Bay,Jamaica Storage Yard,Oyster Bay Station,2011,2
Oyster Bay,Long Island City,Oyster Bay Station,2011,29
Oyster Bay,Mineola Station,Oyster Bay Station,2011,1
Oyster Bay,Oyster Bay Station,Penn Station,2011,27
Oyster Bay,Oyster Bay Station,Mineola Station,2011,5
Oyster Bay,Oyster Bay Station,Long Island City,2011,41
Oyster Bay,Oyster Bay Station,Jamaica Storage Yard,2011,3
Oyster Bay,Oyster Bay Station,Jamaica Station,2011,182
Oyster Bay,Oyster Bay Station,Hunterspoint Ave.,2011,10
Oyster Bay,Penn Station,Oyster Bay Station,2011,73
Port Jefferson,Hicksville Station,Port Jefferson Station,2011,64
Port Jefferson,Hunterspoint Ave.,Port Jefferson Station,2011,36
Port Jefferson,Huntington Station,Port Jefferson Station,2011,367
Port Jefferson,Jamaica Station,Port Jefferson Station,2011,65
Port Jefferson,Long Island City,Port Jefferson Station,2011,98
Port Jefferson,Penn Station,Port Jefferson Station,2011,108
Port Jefferson,Port Jefferson Station,Penn Station,2011,81
Port Jefferson,Port Jefferson Station,Long Island City,2011,14
Port Jefferson,Port Jefferson Station,Jamaica Storage Yard,2011,1
Port Jefferson,Port Jefferson Station,Jamaica Station,2011,13
Port Jefferson,Port Jefferson Station,Huntington Station,2011,212
Port Jefferson,Port Jefferson Station,Hunterspoint Ave.,2011,80
Port Jefferson,Port Jefferson Station,Hicksville Station,2011,102
Port Jefferson,Stony Brook Station,Huntington Station,2011,25
Port Washington,Great Neck Station,Penn Station,2011,160
Port Washington,Little Neck Station,Penn Station,2011,35
Port Washington,Penn Station,Port Washington Station,2011,391
Port Washington,Penn Station,Great Neck Station,2011,175
Port Washington,Port Washington Station,West Side Yard,2011,6
Port Washington,Port Washington Station,Penn Station,2011,647
Port Washington,West Side Yard,Port Washington Station,2011,1
Ronk. (greenpt.),Atlantic Terminal,Ronkonkoma Station,2011,21
Ronk. (greenpt.),Bethpage Station,Penn Station,2011,40
Ronk. (greenpt.),Central Islip Station,Penn Station,2011,15
Ronk. (greenpt.),Deer Park Station,Riverhead Station,2011,10
Ronk. (greenpt.),Farmingdale Station,Penn Station,2011,76
Ronk. (greenpt.),Greenport Station,Ronkonkoma Station,2011,47
Ronk. (greenpt.),Hicksville Station,Penn Station,2011,6
Ronk. (greenpt.),Hunterspoint Ave.,Ronkonkoma Station,2011,16
Ronk. (greenpt.),Penn Station,Ronkonkoma Station,2011,904
Ronk. (greenpt.),Penn Station,Farmingdale Station,2011,28
Ronk. (greenpt.),Penn Station,Central Islip Station,2011,3
Ronk. (greenpt.),Riverhead Station,Ronkonkoma Station,2011,39
Ronk. (greenpt.),Ronkonkoma Station,Yaphank Station,2011,33
Ronk. (greenpt.),Ronkonkoma Station,West Side Yard,2011,5
Ronk. (greenpt.),Ronkonkoma Station,Riverhead Station,2011,16
Ronk. (greenpt.),Ronkonkoma Station,Penn Station,2011,938
Ronk. (greenpt.),Ronkonkoma Station,Greenport Station,2011,61
Ronk. (greenpt.),Ronkonkoma Station,Atlantic Terminal,2011,33
Ronk. (greenpt.),West Side Yard,Ronkonkoma Station,2011,4
West Hempstead,Atlantic Terminal,West Hempstead Station,2011,88
West Hempstead,Jamaica Station,West Hempstead Station,2011,19
West Hempstead,Jamaica Station,Atlantic Terminal,2011,14
West Hempstead,Valley Stream Station,West Hempstead Station,2011,69
West Hempstead,West Hempstead Station,Valley Stream Station,2011,15
West Hempstead,West Hempstead Station,Penn Station,2011,30
West Hempstead,West Hempstead Station,Jamaica Station,2011,15
West Hempstead,West Hempstead Station,Atlantic Terminal,2011,36
Babylon,Atlantic Terminal,Jamaica Station,2012,4
Babylon,Atlantic Terminal,Babylon Station,2012,110
Babylon,Babylon Station,Penn Station,2012,1248
Babylon,Babylon Station,Jamaica Station,2012,6
Babylon,Babylon Station,Atlantic Terminal,2012,21
Babylon,Freeport Station,Penn Station,2012,51
Babylon,Freeport Station,Jamaica Station,2012,3
Babylon,Freeport Station,Atlantic Terminal,2012,3
Babylon,Lindenhurst Station,Penn Station,2012,15
Babylon,Massapequa Park Station,Penn Station,2012,29
Babylon,Massapequa Park Station,Atlantic Terminal,2012,3
Babylon,Merrick Station,Penn Station,2012,17
Babylon,Penn Station,Wantagh Station,2012,101
Babylon,Penn Station,Seaford Station,2012,32
Babylon,Penn Station,Montauk Station,2012,8
Babylon,Penn Station,Massapequa Park Station,2012,25
Babylon,Penn Station,Jamaica Station,2012,2
Babylon,Penn Station,Freeport Station,2012,77
Babylon,Penn Station,Babylon Station,2012,1035
Babylon,Speonk Station,Jamaica Station,2012,1
Babylon,Speonk Station,Hunterspoint Ave.,2012,1
Babylon,Wantagh Station,Penn Station,2012,29
Far Rockaway,Atlantic Terminal,Far Rockaway Station,2012,204
Far Rockaway,Far Rockaway Station,Valley Stream Station,2012,1
Far Rockaway,Far Rockaway Station,Penn Station,2012,115
Far Rockaway,Far Rockaway Station,Jamaica Station,2012,11
Far Rockaway,Far Rockaway Station,Atlantic Terminal,2012,178
Far Rockaway,Jamaica Station,Far Rockaway Station,2012,15
Far Rockaway,Jamaica Station,Atlantic Terminal,2012,22
Far Rockaway,Penn Station,Far Rockaway Station,2012,49
Far Rockaway,Valley Stream Station,Penn Station,2012,19
Far Rockaway,Valley Stream Station,Far Rockaway Station,2012,7
Hempstead,Atlantic Terminal,Hempstead Station,2012,215
Hempstead,Hempstead Station,Penn Station,2012,74
Hempstead,Hempstead Station,Jamaica Station,2012,26
Hempstead,Hempstead Station,Atlantic Terminal,2012,155
Hempstead,Jamaica Station,Hempstead Station,2012,36
Hempstead,Jamaica Station,Bellmont Race Track,2012,1
Hempstead,Penn Station,Hempstead Station,2012,82
Hempstead,Penn Station,Bellmont Race Track,2012,2
Hunt. Hicks.,Atlantic Terminal,Huntington Station,2012,19
Hunt. Hicks.,Cold Spring Harbor Sta.,Penn Station,2012,9
Hunt. Hicks.,Hicksville Station,Penn Station,2012,51
Hunt. Hicks.,Huntington Station,Penn Station,2012,781
Hunt. Hicks.,Huntington Station,Hunterspoint Ave.,2012,5
Hunt. Hicks.,Huntington Station,Atlantic Terminal,2012,19
Hunt. Hicks.,Jamaica Station,Huntington Station,2012,6
Hunt. Hicks.,Penn Station,Jamaica Station,2012,3
Hunt. Hicks.,Penn Station,Huntington Station,2012,813
Hunt. Hicks.,Penn Station,Hicksville Station,2012,70
Hunt. Hicks.,Westbury Station,Penn Station,2012,26
Long Beach,Atlantic Terminal,Lynbrook Station,2012,1
Long Beach,Atlantic Terminal,Long Beach Station,2012,90
Long Beach,Jamaica Station,Long Beach Station,2012,8
Long Beach,Jamaica Station,Atlantic Terminal,2012,9
Long Beach,Long Beach Station,Penn Station,2012,332
Long Beach,Long Beach Station,Lynbrook Station,2012,4
Long Beach,Long Beach Station,Jamaica Station,2012,11
Long Beach,Long Beach Station,Atlantic Terminal,2012,27
Long Beach,Lynbrook Station,Long Beach Station,2012,7
Long Beach,Lynbrook Station,Atlantic Terminal,2012,5
Long Beach,Penn Station,Long Beach Station,2012,227
Montauk,Amagansett Station,Jamaica Station,2012,3
Montauk,Atlantic Terminal,Freeport Station,2012,5
Montauk,Babylon Station,Speonk Station,2012,100
Montauk,Babylon Station,Patchogue Station,2012,222
Montauk,Babylon Station,Montauk Station,2012,15
Montauk,Bay Shore Station,Montauk Station,2012,1
Montauk,Bridgehampton Station,Jamaica Station,2012,4
Montauk,Hunterspoint Ave.,Patchogue Station,2012,3
Montauk,Hunterspoint Ave.,Montauk Station,2012,42
Montauk,Jamaica Station,Speonk Station,2012,55
Montauk,Jamaica Station,Patchogue Station,2012,78
Montauk,Jamaica Station,Montauk Station,2012,164
Montauk,Long Island City,Patchogue Station,2012,46
Montauk,Montauk Station,Penn Station,2012,6
Montauk,Montauk Station,Long Island City,2012,20
Montauk,Montauk Station,Jamaica Station,2012,198
Montauk,Montauk Station,Hunterspoint Ave.,2012,3
Montauk,Montauk Station,Bay Shore Station,2012,2
Montauk,Montauk Station,Babylon Station,2012,10
Montauk,Patchogue Station,Jamaica Station,2012,19
Montauk,Patchogue Station,Babylon Station,2012,157
Montauk,Penn Station,Speonk Station,2012,36
Montauk,Penn Station,Babylon Station,2012,2
Montauk,Southampton Station,Jamaica Station,2012,1
Montauk,Speonk Station,Penn Station,2012,67
Montauk,Speonk Station,Mineola Station,2012,2
Montauk,Speonk Station,Long Island City,2012,12
Montauk,Speonk Station,Jamaica Station,2012,42
Montauk,Speonk Station,Hunterspoint Ave.,2012,19
Montauk,Speonk Station,Bay Shore Station,2012,1
Montauk,Speonk Station,Babylon Station,2012,51
Oyster Bay,East Williston Station,Penn Station,2012,11
Oyster Bay,Hunterspoint Ave.,Oyster Bay Station,2012,39
Oyster Bay,Jamaica Station,Oyster Bay Station,2012,255
Oyster Bay,Long Island City,Oyster Bay Station,2012,22
Oyster Bay,Oyster Bay Station,Penn Station,2012,15
Oyster Bay,Oyster Bay Station,Mineola Station,2012,4
Oyster Bay,Oyster Bay Station,Long Island City,2012,28
Oyster Bay,Oyster Bay Station,Jamaica Station,2012,166
Oyster Bay,Oyster Bay Station,Hunterspoint Ave.,2012,14
Oyster Bay,Penn Station,Oyster Bay Station,2012,36
Port Jefferson,Hicksville Station,Port Jefferson Station,2012,89
Port Jefferson,Hunterspoint Ave.,Port Jefferson Station,2012,33
Port Jefferson,Huntington Station,Port Jefferson Station,2012,375
Port Jefferson,Jamaica Station,Port Jefferson Station,2012,40
Port Jefferson,Long Island City,Port Jefferson Station,2012,68
Port Jefferson,Penn Station,Port Jefferson Station,2012,107
Port Jefferson,Port Jefferson Station,Penn Station,2012,83
Port Jefferson,Port Jefferson Station,Long Island City,2012,15
Port Jefferson,Port Jefferson Station,Jamaica Station,2012,4
Port Jefferson,Port Jefferson Station,Huntington Station,2012,214
Port Jefferson,Port Jefferson Station,Hunterspoint Ave.,2012,81
Port Jefferson,Port Jefferson Station,Hicksville Station,2012,149
Port Jefferson,Stony Brook Station,Huntington Station,2012,11
Port Washington,Great Neck Station,Penn Station,2012,145
Port Washington,Little Neck Station,Penn Station,2012,36
Port Washington,Penn Station,Port Washington Station,2012,426
Port Washington,Penn Station,Great Neck Station,2012,130
Port Washington,Port Washington Station,Penn Station,2012,743
Ronk. (greenpt.),Atlantic Terminal,Ronkonkoma Station,2012,22
Ronk. (greenpt.),Bethpage Station,Penn Station,2012,31
Ronk. (greenpt.),Brentwood Station,Penn Station,2012,10
Ronk. (greenpt.),Central Islip Station,Penn Station,2012,13
Ronk. (greenpt.),Deer Park Station,Riverhead Station,2012,11
Ronk. (greenpt.),Farmingdale Station,Penn Station,2012,89
Ronk. (greenpt.),Greenport Station,Ronkonkoma Station,2012,38
Ronk. (greenpt.),Greenport Station,Riverhead Station,2012,1
Ronk. (greenpt.),Hicksville Station,Penn Station,2012,5
Ronk. (greenpt.),Hunterspoint Ave.,Ronkonkoma Station,2012,15
Ronk. (greenpt.),Jamaica Station,Penn Station,2012,1
Ronk. (greenpt.),Penn Station,Ronkonkoma Station,2012,806
Ronk. (greenpt.),Penn Station,Farmingdale Station,2012,30
Ronk. (greenpt.),Penn Station,Brentwood Station,2012,11
Ronk. (greenpt.),Riverhead Station,Ronkonkoma Station,2012,46
Ronk. (greenpt.),Riverhead Station,Greenport Station,2012,3
Ronk. (greenpt.),Ronkonkoma Station,Yaphank Station,2012,22
Ronk. (greenpt.),Ronkonkoma Station,Riverhead Station,2012,16
Ronk. (greenpt.),Ronkonkoma Station,Penn Station,2012,882
Ronk. (greenpt.),Ronkonkoma Station,Greenport Station,2012,69
Ronk. (greenpt.),Ronkonkoma Station,Atlantic Terminal,2012,30
West Hempstead,Atlantic Terminal,West Hempstead Station,2012,129
West Hempstead,Jamaica Station,West Hempstead Station,2012,33
West Hempstead,Jamaica Station,Atlantic Terminal,2012,9
West Hempstead,Valley Stream Station,West Hempstead Station,2012,59
West Hempstead,West Hempstead Station,Valley Stream Station,2012,8
West Hempstead,West Hempstead Station,Penn Station,2012,24
West Hempstead,West Hempstead Station,Jamaica Station,2012,26
West Hempstead,West Hempstead Station,Hunterspoint Ave.,2012,1
West Hempstead,West Hempstead Station,Atlantic Terminal,2012,27
Babylon,Atlantic Terminal,Jamaica Station,2013,5
Babylon,Atlantic Terminal,Babylon Station,2013,92
Babylon,Babylon Station,Penn Station,2013,1479
Babylon,Babylon Station,Atlantic Terminal,2013,31
Babylon,Freeport Station,Penn Station,2013,141
Babylon,Lindenhurst Station,Penn Station,2013,14
Babylon,Massapequa Park Station,Penn Station,2013,54
Babylon,Massapequa Park Station,Atlantic Terminal,2013,8
Babylon,Merrick Station,Penn Station,2013,34
Babylon,Penn Station,Wantagh Station,2013,127
Babylon,Penn Station,Seaford Station,2013,44
Babylon,Penn Station,Montauk Station,2013,9
Babylon,Penn Station,Massapequa Park Station,2013,11
Babylon,Penn Station,Freeport Station,2013,120
Babylon,Penn Station,Babylon Station,2013,1148
Babylon,Penn Station,Amityville Station,2013,1
Babylon,Wantagh Station,Penn Station,2013,90
Far Rockaway,Atlantic Terminal,Jamaica Station,2013,8
Far Rockaway,Atlantic Terminal,Far Rockaway Station,2013,191
Far Rockaway,Far Rockaway Station,Penn Station,2013,176
Far Rockaway,Far Rockaway Station,Jamaica Station,2013,4
Far Rockaway,Far Rockaway Station,Atlantic Terminal,2013,186
Far Rockaway,Jamaica Station,Far Rockaway Station,2013,2
Far Rockaway,Jamaica Station,Atlantic Terminal,2013,36
Far Rockaway,Penn Station,Far Rockaway Station,2013,66
Far Rockaway,Valley Stream Station,Penn Station,2013,47
Far Rockaway,Valley Stream Station,Far Rockaway Station,2013,5
Hempstead,Atlantic Terminal,Jamaica Station,2013,4
Hempstead,Atlantic Terminal,Hempstead Station,2013,273
Hempstead,Bellmont Race Track,Jamaica Station,2013,4
Hempstead,Hempstead Station,Penn Station,2013,116
Hempstead,Hempstead Station,Jamaica Station,2013,16
Hempstead,Hempstead Station,Atlantic Terminal,2013,207
Hempstead,Jamaica Station,Hempstead Station,2013,6
Hempstead,Jamaica Station,Bellmont Race Track,2013,3
Hempstead,Penn Station,Hempstead Station,2013,112
Hempstead,Penn Station,Bellmont Race Track,2013,4
Hunt. Hicks.,Atlantic Terminal,Huntington Station,2013,46
Hunt. Hicks.,Cold Spring Harbor Sta.,Penn Station,2013,29
Hunt. Hicks.,Hicksville Station,Penn Station,2013,51
Hunt. Hicks.,Huntington Station,Penn Station,2013,797
Hunt. Hicks.,Huntington Station,Hunterspoint Ave.,2013,14
Hunt. Hicks.,Huntington Station,Atlantic Terminal,2013,32
Hunt. Hicks.,Jamaica Station,Huntington Station,2013,19
